Z	A	FPS	Yield	Uncertainty					
35	82	0	1.04E-06	6.66E-07					
29	83	0	3.70E-14	2.37E-14					
31	83	0	4.69E-06	3.00E-06					
34	83	1	3.19E-04	2.04E-04					
36	83	1	8.47E-09	5.42E-09					
37	83	0	1.30E-12	8.32E-13					
30	83	0	2.46E-09	1.57E-09					
32	83	0	7.68E-04	4.91E-04					
33	83	0	0.00306922	0.0019643					
34	83	0	0.00155948	9.98E-04					
35	83	0	3.18E-05	2.03E-05					
36	83	0	4.13E-08	2.64E-08					
30	84	0	7.17E-11	4.59E-11					
32	84	0	3.01E-04	1.92E-04					
33	84	1	0.00137796	8.82E-04					
35	84	0	8.42E-05	5.39E-05					
31	84	0	3.83E-07	2.45E-07					
33	84	0	0.00137796	8.82E-04					
34	84	0	0.00594017	0.00190085					
35	84	1	1.79E-04	1.15E-04					
36	84	0	2.02E-06	1.29E-06					
37	84	0	1.49E-10	9.54E-11					
31	85	0	2.23E-08	1.43E-08					
33	85	0	0.00207053	0.00132514					
34	85	0	0.00533887	0.00341688					
35	85	0	0.00184183	0.00117877					
36	85	0	3.09E-05	1.98E-05					
37	85	0	1.45E-08	9.28E-09					
38	85	1	2.16E-13	1.38E-13					
30	85	0	7.24E-13	4.63E-13					
32	85	0	4.91E-05	3.14E-05					
34	85	1	0.0053132	0.00340045					
36	85	1	6.34E-06	4.06E-06					
38	85	0	2.16E-13	1.38E-13					
32	86	0	5.42E-06	3.47E-06					
34	86	0	0.0122675	0.00392561					
35	86	1	0.0022429	0.00143546					
36	86	0	0.001542	4.93E-04					
37	86	0	2.19E-07	1.40E-07					
38	86	0	6.74E-11	4.31E-11					
31	86	0	4.85E-10	3.10E-10					
33	86	0	5.89E-04	3.77E-04					
35	86	0	0.00224876	0.00143921					
37	86	1	2.19E-07	1.40E-07					
31	87	0	4.75E-12	3.04E-12					
33	87	0	1.68E-04	1.07E-04					
38	87	1	9.79E-10	6.27E-10					
39	87	0	4.03E-14	2.58E-14					
32	87	0	3.16E-07	2.02E-07					
34	87	0	0.00675035	0.00303766					
35	87	0	0.014254	8.55E-04					
36	87	0	0.00350431	8.06E-04					
37	87	0	1.33E-05	8.52E-06					
38	87	0	4.78E-09	3.06E-09					
32	88	0	1.38E-08	8.83E-09					
34	88	0	0.00446696	0.00285886					
35	88	0	0.0166928	0.00100157					
36	88	0	0.0124732	7.48E-04					
37	88	0	5.48E-04	3.51E-04					
31	88	0	1.54E-13	9.83E-14					
33	88	0	2.01E-05	1.29E-05					
38	88	0	3.64E-07	2.33E-07					
39	88	0	7.28E-12	4.66E-12					
33	89	0	2.10E-06	1.34E-06					
38	89	0	8.32E-06	5.32E-06					
39	89	0	1.38E-10	8.83E-11					
32	89	0	6.81E-11	4.36E-11					
34	89	0	0.00121718	7.79E-04					
35	89	0	0.0132885	0.00425232					
36	89	0	0.0255753	0.00204602					
37	89	0	0.00389926	0.00249552					
39	89	1	6.74E-10	4.31E-10					
32	90	0	3.27E-12	2.09E-12					
34	90	0	2.38E-04	1.53E-04					
35	90	0	0.00725716	5.81E-04					
36	90	0	0.0402432	0.00160973					
37	90	0	0.00128501	8.22E-04					
39	90	1	2.29E-08	1.47E-08					
40	90	0	8.90E-13	5.70E-13					
33	90	0	7.45E-08	4.77E-08					
37	90	1	0.00689361	0.00441191					
38	90	0	3.43E-04	1.54E-04					
39	90	0	2.29E-08	1.47E-08					
40	90	1	8.90E-13	5.70E-13					
33	91	0	4.04E-09	2.59E-09					
37	91	0	0.0200984	0.00643149					
38	91	0	0.0068519	0.00438522					
39	91	1	8.60E-07	5.50E-07					
32	91	0	1.31E-13	8.40E-14					
34	91	0	9.59E-06	6.13E-06					
35	91	0	0.00136232	8.72E-04					
36	91	0	0.029162	0.00116648					
39	91	0	8.60E-07	5.50E-07					
40	91	0	2.01E-10	1.29E-10					
34	92	0	5.51E-07	3.53E-07					
35	92	0	2.09E-04	1.34E-04					
36	92	0	0.0135368	0.00216589					
39	92	0	2.90E-05	1.86E-05					
40	92	0	1.67E-08	1.07E-08					
33	92	0	6.13E-12	3.92E-12					
37	92	0	0.0279003	0.00892811					
38	92	0	0.0161423	0.00516555					
41	92	0	8.36E-14	5.35E-14					
33	93	0	8.79E-12	5.63E-12					
37	93	0	0.0340824	0.0013633					
38	93	0	0.0214448	0.00235893					
39	93	0	0.00103401	6.62E-04					
41	93	0	1.03E-11	6.59E-12					
34	93	0	5.85E-07	3.74E-07					
35	93	0	6.42E-04	4.11E-04					
36	93	0	0.00305278	2.44E-04					
39	93	1	0.00103401	6.62E-04					
40	93	0	4.93E-07	3.16E-07					
41	93	1	2.12E-12	1.36E-12					
34	94	0	1.58E-10	1.01E-10					
35	94	0	8.14E-07	5.21E-07					
36	94	0	6.19E-04	3.96E-04					
40	94	0	1.29E-05	8.26E-06					
41	94	0	5.81E-10	3.72E-10					
37	94	0	0.0189055	0.00113433					
38	94	0	0.0378687	0.00227212					
39	94	0	0.00677415	0.00155805					
41	94	1	3.41E-10	2.18E-10					
37	95	0	0.00898065	0.00574762					
38	95	0	0.0436722	0.00480395					
39	95	0	0.0117795	0.00270928					
41	95	0	4.42E-08	2.83E-08					
42	95	0	1.50E-12	9.60E-13					
34	95	0	3.10E-12	1.98E-12					
35	95	0	9.55E-08	6.11E-08					
36	95	0	2.26E-04	1.45E-04					
40	95	0	1.48E-04	9.46E-05					
41	95	1	9.05E-09	5.79E-09					
34	96	0	3.08E-14	1.97E-14					
35	96	0	2.28E-09	1.46E-09					
36	96	0	2.31E-05	1.48E-05					
39	96	1	0.0134612	0.00430759					
40	96	0	0.0012463	7.98E-04					
41	96	0	1.20E-06	7.68E-07					
37	96	0	0.00227937	0.0014588					
38	96	0	0.0438316	0.00701306					
39	96	0	0.00133016	8.51E-04					
42	96	0	1.67E-10	1.07E-10					
37	97	0	5.37E-04	3.44E-04					
38	97	0	0.0236963	0.00758282					
39	97	0	0.0151362	0.0096872					
41	97	1	4.44E-06	2.84E-06					
42	97	0	9.94E-09	6.36E-09					
43	97	0	3.04E-14	1.95E-14					
35	97	0	1.73E-11	1.11E-11					
36	97	0	1.15E-06	7.36E-07					
39	97	1	0.0151362	0.0096872					
40	97	0	0.00560655	0.00358819					
41	97	0	2.17E-05	1.39E-05					
43	97	1	3.04E-14	1.95E-14					
35	98	0	4.81E-13	3.08E-13					
36	98	0	4.32E-08	2.76E-08					
39	98	1	0.013851	0.00443233					
40	98	0	0.020377	0.0046867					
41	98	1	5.02E-05	3.22E-05					
37	98	0	5.35E-05	3.42E-05					
38	98	0	0.0104358	0.00333946					
39	98	0	0.0138524	0.00443277					
41	98	0	1.78E-04	1.14E-04					
42	98	0	4.23E-07	2.71E-07					
43	98	0	7.14E-12	4.57E-12					
37	99	0	9.11E-07	5.83E-07					
38	99	0	0.00215836	0.00138135					
41	99	1	0.001422	9.10E-04					
42	99	0	7.24E-06	4.63E-06					
43	99	0	4.85E-10	3.10E-10					
36	99	0	2.96E-11	1.89E-11					
39	99	0	0.0225104	0.00720332					
40	99	0	0.0336336	0.0107628					
41	99	0	1.24E-04	7.91E-05					
43	99	1	9.94E-11	6.36E-11					
36	100	0	9.60E-12	6.14E-12					
39	100	0	0.00869977	0.00556786					
40	100	0	0.0489287	0.0156572					
41	100	1	0.00248383	0.00158965					
43	100	0	2.37E-08	1.52E-08					
37	100	0	1.55E-07	9.92E-08					
38	100	0	3.56E-04	2.28E-04					
41	100	0	0.00248383	0.00158965					
42	100	0	1.07E-04	6.87E-05					
44	100	0	7.26E-13	4.65E-13					
37	101	0	1.08E-08	6.92E-09					
38	101	0	2.56E-05	1.64E-05					
42	101	0	6.93E-04	4.43E-04					
44	101	0	6.41E-11	4.10E-11					
36	101	0	3.51E-13	2.25E-13					
39	101	0	0.00283096	0.00181181					
40	101	0	0.0341132	0.0109162					
41	101	0	0.0135791	0.00434532					
43	101	0	7.61E-07	4.87E-07					
39	102	0	4.58E-04	2.93E-04					
40	102	0	0.0222015	0.0071045					
41	102	1	0.00863186	0.00552439					
43	102	0	4.88E-06	3.12E-06					
37	102	0	1.86E-11	1.19E-11					
38	102	0	1.67E-06	1.07E-06					
41	102	0	0.00863186	0.00552439					
42	102	0	0.00365223	0.00233743					
43	102	1	4.88E-06	3.12E-06					
44	102	0	3.96E-09	2.53E-09					
37	103	0	7.59E-13	4.86E-13					
38	103	0	5.05E-08	3.23E-08					
41	103	0	0.0180568	0.00577818					
42	103	0	0.00797168	0.00358726					
43	103	0	9.43E-05	6.03E-05					
44	103	0	9.94E-08	6.36E-08					
45	103	0	2.04E-13	1.31E-13					
39	103	0	5.54E-05	3.55E-05					
40	103	0	0.00625857	0.00400548					
45	103	1	1.50E-12	9.60E-13					
39	104	0	2.32E-06	1.48E-06					
40	104	0	0.00116425	7.45E-04					
41	104	0	0.00357096	0.00228541					
45	104	0	1.62E-11	1.04E-11					
37	104	0	7.71E-15	4.94E-15					
38	104	0	6.93E-10	4.44E-10					
41	104	1	0.00357096	0.00228541					
42	104	0	0.0120413	0.00276949					
43	104	0	3.16E-04	2.02E-04					
44	104	0	1.59E-06	1.02E-06					
45	104	1	5.74E-11	3.67E-11					
42	105	0	0.00916739	0.00293357					
43	105	0	7.47E-05	4.78E-05					
44	105	0	1.01E-09	6.46E-10					
45	105	0	6.16E-10	1.97E-10					
39	105	0	1.87E-13	1.19E-13					
40	105	0	5.49E-06	3.51E-06					
41	105	0	0.00277348	0.00177502					
45	105	1	8.40E-11	5.38E-11					
39	106	0	6.89E-15	4.41E-15					
40	106	0	2.74E-07	1.75E-07					
41	106	0	4.35E-04	2.78E-04					
42	106	0	0.00479012	5.27E-04					
43	106	0	1.03E-04	6.58E-05					
44	106	0	8.70E-09	5.57E-09					
42	107	0	0.0026645	0.00170528					
43	107	0	2.57E-04	1.64E-04					
44	107	0	8.41E-08	5.38E-08					
39	107	0	6.05E-16	3.87E-16					
40	107	0	1.78E-08	1.14E-08					
41	107	0	1.02E-04	6.52E-05					
39	108	0	4.65E-18	2.98E-18					
40	108	0	1.85E-10	1.18E-10					
41	108	0	8.19E-06	5.24E-06					
45	108	0	6.81E-14	4.36E-14					
42	108	0	0.00107449	6.88E-04					
43	108	0	2.24E-04	1.43E-04					
44	108	0	4.91E-07	3.14E-07					
45	108	1	6.81E-14	4.36E-14					
42	109	0	4.19E-04	2.68E-04					
43	109	0	3.39E-04	2.17E-04					
44	109	1	2.00E-05	1.28E-05					
45	109	0	5.25E-08	3.36E-08					
46	109	1	1.56E-11	9.98E-12					
39	109	0	2.14E-13	1.37E-13					
40	109	0	1.42E-08	9.12E-09					
41	109	0	1.56E-05	1.00E-05					
44	109	0	2.00E-05	1.28E-05					
45	109	1	5.25E-08	3.36E-08					
46	109	0	7.01E-12	4.49E-12					
39	110	0	4.83E-15	3.09E-15					
40	110	0	4.34E-10	2.78E-10					
